# Site: US-Goo,,,,,,,,
# Version: 2-1,,,,,,,,
TIMESTAMP_START,TIMESTAMP_END,USTAR,TA,LE,P,RH,PA,NETRAD
200206010000,200206010030,0.015,18.3,2,0,100,100.4,-21
200206010030,200206010100,-9999,18.3,7,0,100,100.4,-19
200206010100,200206010130,-9999,17.8,5,0,100,100.4,-18
200206010130,200206010200,-9999,17.8,-6,0,100,100.4,-15
200206010200,200206010230,-9999,17.8,1,0,100,100.4,-13
200206010230,200206010300,-9999,17.5,-5,0,100,100.4,-15
200206010300,200206010330,-9999,17.5,13,0,100,100.4,-13
200206010330,200206010400,0.01,17.4,-1,0,100,100.4,-13
200206010400,200206010430,-9999,17.2,7,0,100,100.5,-13
200206010430,200206010500,-9999,17,-3,0,100,100.5,-10
200206010500,200206010530,-9999,17.3,-15,0,100,100.5,6
200206010530,200206010600,0.091,18.5,32,0,100,100.5,34
200206010600,200206010630,0.094,19.7,39,0,100,100.601,107
200206010630,200206010700,-9999,21.7,58,0,100,100.601,185
200206010700,200206010730,0.155,23.7,96,0,97.8,100.601,220
200206010730,200206010800,0.145,25.4,120,0,89.5,100.601,291
200206010800,200206010830,0.153,26.9,144,0,78.5,100.601,372
200206010830,200206010900,0.127,27.5,157,0,74.2,100.601,433
200206010900,200206010930,0.239,28.1,312,0,69.9,100.601,514
200206010930,200206011000,0.199,28.6,242,0,65.6,100.601,584
200206011000,200206011030,0.393,29.1,261,0,62.4,100.601,662
200206011030,200206011100,0.286,29.6,283,0,63,100.601,656
200206011100,200206011130,0.256,29.7,429,0,61.2,100.601,764
200206011130,200206011200,0.047,29.5,317,0,60.9,100.5,629
200206011200,200206011230,0.161,30.2,358,0,57.6,100.5,726
200206011230,200206011300,0.109,30.6,361,0,56.9,100.5,732
200206011300,200206011330,0.357,30.4,307,0,56.8,100.4,606
200206011330,200206011400,0.316,30.9,373,0,56.3,100.4,633
200206011400,200206011430,0.211,30.7,282,0,55.7,100.4,527
200206011430,200206011500,0.254,30.7,251,0,56.3,100.4,438
200206011500,200206011530,0.23,31,304,0,53.2,100.301,459
200206011530,200206011600,0.253,31,223,0,50.5,100.301,367
200206011600,200206011630,0.084,30.8,192,0,49.3,100.301,283
200206011630,200206011700,0.153,30.7,153,0,53,100.301,200
200206011700,200206011730,0.144,30.4,91,0,53.8,100.301,120
200206011730,200206011800,0.106,30,65,0,59,100.301,43
200206011800,200206011830,-9999,28.4,23,0,72.5,100.301,-19
200206011830,200206011900,0.015,25.9,1,0,86.4,100.301,-52
200206011900,200206011930,0.015,24.1,0,0,92,100.301,-60
200206011930,200206012000,0.01,23.1,1,0,97.5,100.301,-59
200206012000,200206012030,0.02,22.2,-1,0,100,100.301,-56
200206012030,200206012100,-9999,22.1,1,0,100,100.301,-48
200206012100,200206012130,-9999,21.8,-2,0,100,100.301,-43
200206012130,200206012200,0.01,21.2,1,0,100,100.4,-39
200206012200,200206012230,0.01,20.7,-2,0,100,100.4,-35
200206012230,200206012300,0.01,20.5,0,0,100,100.4,-31
200206012300,200206012330,-9999,20.4,2,0,100,100.4,-27
200206012330,200206020000,0.01,20,0,0,100,100.4,-25
200206020000,200206020030,0.02,20,7,0,100,100.301,-23
200206020030,200206020100,-9999,19.8,8,0,100,100.301,-22
200206020100,200206020130,0,19.8,-1,0,100,100.301,-21
200206020130,200206020200,0.03,19.8,-5,0,100,100.301,-19
200206020200,200206020230,0.112,19.4,-1,0,100,100.301,-18
200206020230,200206020300,0.094,19.3,-13,0,100,100.301,-17
200206020300,200206020330,0.02,18.8,4,0,100,100.301,-16
200206020330,200206020400,0,19,3,0,100,100.301,-16
200206020400,200206020430,0.03,18.7,8,0,100,100.301,-15
200206020430,200206020500,-9999,18.3,4,0,100,100.4,-11
200206020500,200206020530,-9999,18.5,-8,0,100,100.4,5
200206020530,200206020600,0.034,19.8,26,0,100,100.4,32
200206020600,200206020630,-9999,21.9,66,0,99.8,100.4,104
200206020630,200206020700,0.137,23.9,97,0,93.2,100.5,162
200206020700,200206020730,0.13,25,105,0,86.8,100.5,223
200206020730,200206020800,0.191,26.5,164,0,79.6,100.5,307
200206020800,200206020830,-9999,27.9,151,0,73.1,100.601,375
200206020830,200206020900,0.195,29.2,206,0,67.6,100.5,453
200206020900,200206020930,0.257,29.7,227,0,64.401,100.5,520
200206020930,200206021000,0.263,30.2,261,0,62.5,100.5,577
200206021000,200206021030,0.277,30.6,303,0,59.8,100.5,633
200206021030,200206021100,0.293,31,331,0,56.6,100.5,666
200206021100,200206021130,0.277,31.3,356,0,56.7,100.5,711
200206021130,200206021200,0.329,31.6,325,0,55.4,100.4,720
200206021200,200206021230,0.305,31.7,373,0,52.9,100.4,689
200206021230,200206021300,0.232,31.6,355,0,55.5,100.4,558
200206021300,200206021330,0.292,32.1,446,0,54.5,100.4,692
200206021330,200206021400,0.301,31.9,283,0,54.9,100.301,515
200206021400,200206021430,0.293,32.201,355,0,53,100.301,557
200206021430,200206021500,0.262,32.3,320,0,51.4,100.301,504
200206021500,200206021530,0.287,32.3,317,0,50.5,100.301,423
200206021530,200206021600,0.291,32.1,219,0,49.5,100.2,368
200206021600,200206021630,0.188,32.1,209,0,48.4,100.2,273
200206021630,200206021700,0.15,31.9,133,0,50,100.2,188
200206021700,200206021730,0.154,31.5,89,0,53.5,100.2,123
200206021730,200206021800,0.092,30.6,39,0,60.1,100.2,43
200206021800,200206021830,0.109,29.3,19,0,67.7,100.2,-15
200206021830,200206021900,0.037,27.8,1,0,75.1,100.2,-50
200206021900,200206021930,0.025,26.1,2,0,84.8,100.2,-61
200206021930,200206022000,0.032,24.9,3,0,89.5,100.2,-61
200206022000,200206022030,-9999,23.3,-6,0,95.1,100.2,-62
200206022030,200206022100,-9999,23.1,1,0,95.2,100.301,-61
200206022100,200206022130,0.018,22.8,-1,0,95.3,100.301,-58
200206022130,200206022200,-9999,22.6,-3,0,95.5,100.301,-58
200206022200,200206022230,-9999,22.9,-1,0,93.6,100.301,-60
200206022230,200206022300,0.015,21.3,-1,0,99.6,100.301,-60
200206022300,200206022330,-9999,21.2,-1,0,99.3,100.301,-54
200206022330,200206030000,-9999,21.3,-1,0,97.7,100.301,-51
200206030000,200206030030,-9999,20.3,-1,0,100,100.301,-49
200206030030,200206030100,0,20.2,-1,0,100,100.301,-41
200206030100,200206030130,-9999,20,0,0,100,100.301,-34
200206030130,200206030200,0,20,0,0,100,100.301,-30
200206030200,200206030230,0.02,19.5,-1,0,100,100.301,-27
200206030230,200206030300,0.01,19.5,2,0,100,100.301,-24
200206030300,200206030330,0,19.4,0,0,100,100.4,-22
200206030330,200206030400,0.023,19.5,-2,0,100,100.4,-20
200206030400,200206030430,0.015,19.3,-3,0,100,100.4,-19
200206030430,200206030500,0.01,19.3,-4,0,100,100.4,-15
200206030500,200206030530,-9999,19.3,1,0,100,100.4,5
200206030530,200206030600,0.02,20.6,29,0,100,100.4,57
200206030600,200206030630,0.059,22.8,49,0,99.4,100.4,90
200206030630,200206030700,0.146,25.2,92,0,90.2,100.5,120
200206030700,200206030730,0.172,26.8,129,0,82.1,100.5,204
